Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-01-01 00:00:00,6.47,3.16,0.3,9.93
2023-01-01 00:15:00,6.64,2.545,0.3,9.485
2023-01-01 00:30:00,6.8100000000000005,1.93,0.3,9.04
2023-01-01 00:45:00,6.98,1.3150000000000002,0.3,8.595
2023-01-01 01:00:00,7.15,0.7,0.3,8.15
2023-01-01 01:15:00,7.345000000000001,0.575,0.3,8.22
2023-01-01 01:30:00,7.54,0.4499999999999999,0.3,8.290000000000001
2023-01-01 01:45:00,7.734999999999999,0.325,0.3,8.36
2023-01-01 02:00:00,7.93,0.2,0.3,8.43
2023-01-01 02:15:00,8.785,0.51,0.3175,9.6125
2023-01-01 02:30:00,9.64,0.8200000000000001,0.3349999999999999,10.795000000000002
2023-01-01 02:45:00,10.495,1.13,0.3525,11.9775
2023-01-01 03:00:00,11.35,1.44,0.37,13.159999999999998
2023-01-01 03:15:00,12.37,1.255,0.5625,14.1875
2023-01-01 03:30:00,13.39,1.0699999999999998,0.7549999999999999,15.215
2023-01-01 03:45:00,14.41,0.885,0.9475,16.2425
2023-01-01 04:00:00,15.43,0.7,1.14,17.27
2023-01-01 04:15:00,17.21,1.0425,0.93,19.1825
2023-01-01 04:30:00,18.99,1.3849999999999998,0.72,21.095
2023-01-01 04:45:00,20.77,1.7274999999999998,0.51,23.0075
2023-01-01 05:00:00,22.55,2.07,0.3,24.92
2023-01-01 05:15:00,23.725,2.6175,0.3,26.6425
2023-01-01 05:30:00,24.9,3.165,0.3,28.365
2023-01-01 05:45:00,26.075,3.7125,0.3,30.0875
2023-01-01 06:00:00,27.25,4.26,0.3,31.81
2023-01-01 06:15:00,28.4375,3.535,0.5525,32.525
2023-01-01 06:30:00,29.625,2.81,0.8049999999999999,33.24
2023-01-01 06:45:00,30.8125,2.085,1.0575,33.955
2023-01-01 07:00:00,32.0,1.36,1.31,34.67
2023-01-01 07:15:00,30.06,4.4775,2.9725,37.510000000000005
2023-01-01 07:30:00,28.12,7.595000000000001,4.635,40.35
2023-01-01 07:45:00,26.18,10.7125,6.297500000000001,43.19
2023-01-01 08:00:00,24.24,13.83,7.96,46.03
2023-01-01 08:15:00,23.385,14.175,8.3075,45.8675
2023-01-01 08:30:00,22.53,14.52,8.655,45.705
2023-01-01 08:45:00,21.675,14.865,9.0025,45.5425
2023-01-01 09:00:00,20.82,15.21,9.35,45.38
2023-01-01 09:15:00,19.58,15.4275,9.05,44.057500000000005
2023-01-01 09:30:00,18.34,15.645,8.75,42.735
2023-01-01 09:45:00,17.1,15.8625,8.45,41.4125
2023-01-01 10:00:00,15.86,16.08,8.15,40.09
2023-01-01 10:15:00,13.5625,15.1725,6.78,35.515
2023-01-01 10:30:00,11.265,14.265,5.41,30.94
2023-01-01 10:45:00,8.9675,13.357499999999998,4.04,26.364999999999995
2023-01-01 11:00:00,6.67,12.45,2.67,21.79
2023-01-01 11:15:00,6.955,12.87,3.2425,23.0675
2023-01-01 11:30:00,7.24,13.29,3.815,24.345
2023-01-01 11:45:00,7.524999999999999,13.71,4.3875,25.6225
2023-01-01 12:00:00,7.81,14.13,4.96,26.9
