t,Pp,Pl,SoC,Pb,Pg
2023-01-07 00:00:00+00:00,0.0,0.0,47.29938271604938,7.000000000000002,-7.000000000000002
2023-01-07 00:05:00+00:00,0.0,0.010908091494182374,44.598765432098766,7.000000000000002,-6.989091908505819
2023-01-07 00:10:00+00:00,0.0,0.02181488503456112,44.598765432098766,0.0,0.02181488503456112
2023-01-07 00:15:00+00:00,0.0,0.03271908282177614,44.598765432098766,0.0,0.03271908282177614
2023-01-07 00:20:00+00:00,0.0,0.043619387365336,44.598765432098766,0.0,0.043619387365336
2023-01-07 00:25:00+00:00,0.0,0.05451450163800632,41.898148148148145,7.000000000000002,-6.945485498361996
2023-01-07 00:30:00+00:00,0.0,0.06540312923014306,39.197530864197525,7.000000000000002,-6.934596870769859
2023-01-07 00:35:00+00:00,0.0,0.07628397450395231,39.197530864197525,0.0,0.07628397450395231
2023-01-07 00:40:00+00:00,0.0,0.08715574274765817,39.197530864197525,0.0,0.08715574274765817
2023-01-07 00:45:00+00:00,0.0,0.0980171403295606,39.197530864197525,0.0,0.0980171403295606
2023-01-07 00:50:00+00:00,0.0,0.10886687485196457,39.197530864197525,0.0,0.10886687485196457
2023-01-07 00:55:00+00:00,0.0,0.1197036553049625,39.197530864197525,0.0,0.1197036553049625
2023-01-07 01:00:00+00:00,0.0,0.13052619222005157,39.197530864197525,0.0,0.13052619222005157
2023-01-07 01:05:00+00:00,0.0,0.14133319782356746,39.197530864197525,0.0,0.14133319782356746
2023-01-07 01:10:00+00:00,0.0,0.15212338618991672,39.197530864197525,0.0,0.15212338618991672
2023-01-07 01:15:00+00:00,0.0,0.16289547339458874,39.197530864197525,0.0,0.16289547339458874
2023-01-07 01:20:00+00:00,0.0,0.17364817766693033,39.197530864197525,0.0,0.17364817766693033
2023-01-07 01:25:00+00:00,0.0,0.1843802195426634,39.197530864197525,0.0,0.1843802195426634
2023-01-07 01:30:00+00:00,0.0,0.19509032201612825,39.197530864197525,0.0,0.19509032201612825
2023-01-07 01:35:00+00:00,0.0,0.2057772106922349,39.197530864197525,0.0,0.2057772106922349
2023-01-07 01:40:00+00:00,0.0,0.21643961393810285,39.197530864197525,0.0,0.21643961393810285
2023-01-07 01:45:00+00:00,0.0,0.2270762630343732,39.197530864197525,0.0,0.2270762630343732
2023-01-07 01:50:00+00:00,0.0,0.23768589232617313,39.197530864197525,0.0,0.23768589232617313
2023-01-07 01:55:00+00:00,0.0,0.24826723937371628,39.197530864197525,0.0,0.24826723937371628
2023-01-07 02:00:00+00:00,0.0,0.25881904510252074,39.197530864197525,0.0,0.25881904510252074
