"Time","Diffus","Global 0°","Global 45°","Global 60°","Global 30°","ClearSky 0° F"
2023-01-01 03:45:00,-2.92 W/m²,-2.55 W/m²,-1.38 W/m²,-1.33 W/m²,-2.88 W/m²,0 W/m²
2023-01-01 03:50:00,-2.92 W/m²,-2.43 W/m²,-1.39 W/m²,-1.43 W/m²,-3.04 W/m²,0 W/m²
2023-01-01 03:55:00,-2.67 W/m²,-2.06 W/m²,-1.09 W/m²,-1.18 W/m²,-2.57 W/m²,0 W/m²
2023-01-01 04:00:00,-2.37 W/m²,-1.59 W/m²,-814 mW/m²,-776 mW/m²,-2.14 W/m²,0 W/m²
2023-01-01 04:05:00,-2.08 W/m²,-1.31 W/m²,-565 mW/m²,-470 mW/m²,-1.65 W/m²,0 W/m²
2023-01-01 04:10:00,-2.24 W/m²,-1.33 W/m²,-403 mW/m²,-348 mW/m²,-1.71 W/m²,0 W/m²
2023-01-01 04:15:00,-2.38 W/m²,-1.47 W/m²,-610 mW/m²,-478 mW/m²,-1.94 W/m²,0 W/m²
2023-01-01 04:20:00,-2.52 W/m²,-1.51 W/m²,-614 mW/m²,-432 mW/m²,-1.89 W/m²,0 W/m²
2023-01-01 04:25:00,-2.87 W/m²,-2.07 W/m²,-855 mW/m²,-688 mW/m²,-2.69 W/m²,0 W/m²
2023-01-01 04:30:00,-3.33 W/m²,-2.59 W/m²,-1.51 W/m²,-1.42 W/m²,-3.49 W/m²,0 W/m²
2023-01-01 04:35:00,-3.37 W/m²,-2.73 W/m²,-1.59 W/m²,-1.39 W/m²,-3.61 W/m²,0 W/m²
2023-01-01 04:40:00,-3.12 W/m²,-2.63 W/m²,-1.69 W/m²,-1.53 W/m²,-3.38 W/m²,0 W/m²
2023-01-01 04:45:00,-2.71 W/m²,-2.29 W/m²,-1.40 W/m²,-1.57 W/m²,-2.62 W/m²,0 W/m²
2023-01-01 04:50:00,-2.64 W/m²,-2.25 W/m²,-1.25 W/m²,-1.41 W/m²,-2.59 W/m²,0 W/m²
2023-01-01 04:55:00,-2.65 W/m²,-2.33 W/m²,-1.39 W/m²,-1.36 W/m²,-2.49 W/m²,0 W/m²
2023-01-01 05:00:00,-2.58 W/m²,-2.29 W/m²,-1.32 W/m²,-1.25 W/m²,-2.37 W/m²,0 W/m²
2023-01-01 05:05:00,-2.48 W/m²,-2.18 W/m²,-1.24 W/m²,-1.23 W/m²,-2.31 W/m²,0 W/m²
2023-01-01 05:10:00,-2.24 W/m²,-2.00 W/m²,-1.11 W/m²,-1.25 W/m²,-1.98 W/m²,0 W/m²
2023-01-01 05:15:00,-2.13 W/m²,-1.96 W/m²,-889 mW/m²,-1.02 W/m²,-1.89 W/m²,0 W/m²
2023-01-01 05:20:00,-1.79 W/m²,-1.63 W/m²,-710 mW/m²,-818 mW/m²,-1.71 W/m²,0 W/m²
2023-01-01 05:25:00,-1.67 W/m²,-1.51 W/m²,-786 mW/m²,-826 mW/m²,-1.85 W/m²,0 W/m²
2023-01-01 05:30:00,-2.11 W/m²,-1.93 W/m²,-989 mW/m²,-1.13 W/m²,-2.22 W/m²,0 W/m²
2023-01-01 05:35:00,-2.32 W/m²,-2.12 W/m²,-1.10 W/m²,-1.14 W/m²,-2.28 W/m²,0 W/m²
2023-01-01 05:40:00,-2.25 W/m²,-2.01 W/m²,-951 mW/m²,-1.04 W/m²,-2.25 W/m²,0 W/m²
2023-01-01 05:45:00,-2.20 W/m²,-1.90 W/m²,-962 mW/m²,-990 mW/m²,-2.22 W/m²,0 W/m²
2023-01-01 05:50:00,-2.14 W/m²,-1.88 W/m²,-920 mW/m²,-1.04 W/m²,-2.16 W/m²,0 W/m²
2023-01-01 05:55:00,-2.24 W/m²,-1.88 W/m²,-927 mW/m²,-979 mW/m²,-2.26 W/m²,0 W/m²
2023-01-01 06:00:00,-2.18 W/m²,-1.85 W/m²,-979 mW/m²,-929 mW/m²,-2.08 W/m²,0 W/m²
2023-01-01 06:05:00,-2.18 W/m²,-1.76 W/m²,-717 mW/m²,-638 mW/m²,-2.18 W/m²,0 W/m²
2023-01-01 06:10:00,-2.24 W/m²,-2.02 W/m²,-1.19 W/m²,-1.22 W/m²,-2.22 W/m²,0 W/m²
2023-01-01 06:15:00,-2.21 W/m²,-1.52 W/m²,-476 mW/m²,-382 mW/m²,-2.01 W/m²,0 W/m²
2023-01-01 06:20:00,-1.95 W/m²,-1.85 W/m²,-979 mW/m²,-982 mW/m²,-1.79 W/m²,0 W/m²
2023-01-01 06:25:00,-1.93 W/m²,-1.24 W/m²,-200 mW/m²,-22.9 mW/m²,-1.69 W/m²,0 W/m²
2023-01-01 06:30:00,-1.63 W/m²,-1.39 W/m²,-176 mW/m²,-203 mW/m²,-1.35 W/m²,0 W/m²
2023-01-01 06:35:00,-993 mW/m²,-621 mW/m²,931 mW/m²,875 mW/m²,-621 mW/m²,0 W/m²
2023-01-01 06:40:00,-28.9 mW/m²,440 mW/m²,1.98 W/m²,1.88 W/m²,626 mW/m²,0 W/m²
2023-01-01 06:45:00,1.39 W/m²,1.95 W/m²,3.71 W/m²,3.58 W/m²,2.47 W/m²,0 W/m²
2023-01-01 06:50:00,3.20 W/m²,3.82 W/m²,5.97 W/m²,5.79 W/m²,4.58 W/m²,27.6 µW/m²
2023-01-01 06:55:00,5.40 W/m²,5.98 W/m²,8.74 W/m²,8.43 W/m²,7.12 W/m²,741 mW/m²
2023-01-01 07:00:00,8.28 W/m²,8.89 W/m²,12.8 W/m²,12.6 W/m²,11.0 W/m²,4.49 W/m²
